"11re -- Väestö iän (1-v.) ja sukupuolen mukaan alueittain, 1972-2018"

"Alue","Ikä","Miehet 2018 Väestö 31.12.","Naiset 2018 Väestö 31.12."
"KOKO MAA","Yhteensä",2723290,2794629
"KOKO MAA","0",24663,23000
"KOKO MAA","1",25996,24938
"KOKO MAA","2",27329,26488
"KOKO MAA","3",28987,27457
"KOKO MAA","4",30082,28746
"KOKO MAA","5",30769,29099
"KOKO MAA","6",31311,30067
"KOKO MAA","7",31546,30347
"KOKO MAA","8",32363,30769
"KOKO MAA","9",32016,30723
"KOKO MAA","10",31674,30352
"KOKO MAA","11",31451,29928
"KOKO MAA","12",31464,30126
"KOKO MAA","13",30624,29569
"KOKO MAA","14",30969,29381
"KOKO MAA","15",30095,29027
"KOKO MAA","16",29833,28274
"KOKO MAA","17",29982,28646
"KOKO MAA","18",30826,28774
"KOKO MAA","19",31390,29320
"KOKO MAA","20",30668,28972
"KOKO MAA","21",31680,30214
"KOKO MAA","22",32872,30848
"KOKO MAA","23",34080,32308
"KOKO MAA","24",35199,33535
"KOKO MAA","25",35412,33651
"KOKO MAA","26",37035,34731
"KOKO MAA","27",36603,34550
"KOKO MAA","28",37190,34992
"KOKO MAA","29",36395,34313
"KOKO MAA","30",36501,34397
"KOKO MAA","31",34942,32696
"KOKO MAA","32",35429,33119
"KOKO MAA","33",36475,34189
"KOKO MAA","34",37485,35163
"KOKO MAA","35",38091,35881
"KOKO MAA","36",37988,35173
"KOKO MAA","37",36052,34093
"KOKO MAA","38",35916,33677
"KOKO MAA","39",35280,33600
"KOKO MAA","40",35598,33454
"KOKO MAA","41",35687,33991
"KOKO MAA","42",35971,33985
"KOKO MAA","43",35251,33170
"KOKO MAA","44",33262,31996
"KOKO MAA","45",30537,28905
"KOKO MAA","46",31446,29932
"KOKO MAA","47",31943,31235
"KOKO MAA","48",32921,32226
"KOKO MAA","49",33726,32707
"KOKO MAA","50",35793,35285
"KOKO MAA","51",36684,36069
"KOKO MAA","52",36724,36307
"KOKO MAA","53",36735,36472
"KOKO MAA","54",37366,37114
"KOKO MAA","55",37603,37511
"KOKO MAA","56",37114,37024
"KOKO MAA","57",36597,36977
"KOKO MAA","58",36057,36934
"KOKO MAA","59",35785,36631
"KOKO MAA","60",34394,35437
"KOKO MAA","61",35682,36867
"KOKO MAA","62",36358,37800
"KOKO MAA","63",35658,37471
"KOKO MAA","64",34963,37931
"KOKO MAA","65",34521,36938
"KOKO MAA","66",35534,37963
"KOKO MAA","67",34035,36537
"KOKO MAA","68",34799,37731
"KOKO MAA","69",35389,38761
"KOKO MAA","70",35431,39362
"KOKO MAA","71",34689,38994
"KOKO MAA","72",32971,37825
"KOKO MAA","73",29053,33255
"KOKO MAA","74",22362,26718
"KOKO MAA","75",20865,25106
"KOKO MAA","76",16179,20000
"KOKO MAA","77",22751,28725
"KOKO MAA","78",15332,20167
"KOKO MAA","79",16806,23328
"KOKO MAA","80",15684,21572
"KOKO MAA","81",13604,19872
"KOKO MAA","82",12038,18113
"KOKO MAA","83",11256,17358
"KOKO MAA","84",9665,15927
"KOKO MAA","85",8216,14003
"KOKO MAA","86",7482,13825
"KOKO MAA","87",6797,12793
"KOKO MAA","88",5742,12098
"KOKO MAA","89",4510,10583
"KOKO MAA","90",3746,8865
"KOKO MAA","91",2713,7206
"KOKO MAA","92",2098,5849
"KOKO MAA","93",1554,4878
"KOKO MAA","94",1132,3608
"KOKO MAA","95",715,2775
"KOKO MAA","96",400,1961
"KOKO MAA","97",277,1293
"KOKO MAA","98",182,897
"KOKO MAA","99",109,425
"KOKO MAA","100 -",135,754
"Akaa","Yhteensä",8331,8280
"Akaa","0",45,48
"Akaa","1",65,71
"Akaa","2",76,74
"Akaa","3",84,87
"Akaa","4",86,89
"Akaa","5",109,91
"Akaa","6",114,104
"Akaa","7",114,98
"Akaa","8",110,111
"Akaa","9",119,101
"Akaa","10",108,107
