date,district,confirmed,deaths,from_abroad,known_domestic_source
2020-01-28,Ahvenanmaa,0,0,0,0
2020-01-28,Etelä-Karjala,0,0,0,0
2020-01-28,Etelä-Pohjanmaa,0,0,0,0
2020-01-28,Etelä-Savo,0,0,0,0
2020-01-28,HUS,1,0,0,0
2020-01-28,Itä-Savo,0,0,0,0
2020-01-28,Kainuu,0,0,0,0
2020-01-28,Kanta-Häme,0,0,0,0
2020-01-28,Keski-Pohjanmaa,0,0,0,0
2020-01-28,Keski-Suomi,0,0,0,0
2020-01-28,Kymenlaakso,0,0,0,0
2020-01-28,Lappi,0,0,0,0
2020-01-28,Länsi-Pohja,0,0,0,0
2020-01-28,Pirkanmaa,0,0,0,0
2020-01-28,Pohjois-Karjala,0,0,0,0
2020-01-28,Pohjois-Pohjanmaa,0,0,0,0
2020-01-28,Pohjois-Savo,0,0,0,0
2020-01-28,Päijät-Häme,0,0,0,0
2020-01-28,Satakunta,0,0,0,0
2020-01-28,Vaasa,0,0,0,0
2020-01-28,Varsinais-Suomi,0,0,0,0
2020-02-10,Ahvenanmaa,0,0,0,0
2020-02-10,Etelä-Karjala,0,0,0,0
2020-02-10,Etelä-Pohjanmaa,0,0,0,0
2020-02-10,Etelä-Savo,0,0,0,0
2020-02-10,HUS,2,0,0,0
2020-02-10,Itä-Savo,0,0,0,0
2020-02-10,Kainuu,0,0,0,0
2020-02-10,Kanta-Häme,0,0,0,0
2020-02-10,Keski-Pohjanmaa,0,0,0,0
2020-02-10,Keski-Suomi,0,0,0,0
2020-02-10,Kymenlaakso,0,0,0,0
2020-02-10,Lappi,0,0,0,0
2020-02-10,Länsi-Pohja,0,0,0,0
2020-02-10,Pirkanmaa,0,0,0,0
2020-02-10,Pohjois-Karjala,0,0,0,0
2020-02-10,Pohjois-Pohjanmaa,0,0,0,0
2020-02-10,Pohjois-Savo,0,0,0,0
2020-02-10,Päijät-Häme,0,0,0,0
2020-02-10,Satakunta,0,0,0,0
2020-02-10,Vaasa,0,0,0,0
2020-02-10,Varsinais-Suomi,0,0,0,0
2020-02-22,Ahvenanmaa,0,0,0,0
2020-02-22,Etelä-Karjala,0,0,0,0
2020-02-22,Etelä-Pohjanmaa,0,0,0,0
2020-02-22,Etelä-Savo,0,0,0,0
2020-02-22,HUS,3,0,0,0
