date,dead,in_icu,in_ward,hospitalized,confirmed
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,1
2020-03-09,0,0,0,0,2
2020-03-10,0,0,0,0,5
2020-03-11,0,0,0,0,11
2020-03-12,0,0,0,0,14
2020-03-13,0,0,0,0,16
2020-03-14,0,0,0,0,18
2020-03-15,0,0,0,0,18
2020-03-16,0,0,0,0,18
2020-03-17,0,0,0,0,20
2020-03-18,0,0,0,0,23
2020-03-19,0,0,0,0,30
2020-03-20,0,0,0,0,36
2020-03-21,0,0,0,0,37
2020-03-22,0,0,0,0,38
2020-03-23,0,0,0,0,45
2020-03-24,0,0,0,0,51
2020-03-25,0,0,0,0,57
2020-03-26,0,0,0,0,65
2020-03-27,0,0,0,0,69
2020-03-28,0,0,1,1,70
2020-03-29,0,0,1,1,70
2020-03-30,0,0,1,1,78
2020-03-31,0,0,1,1,84
2020-04-01,0,0,1,1,89
2020-04-02,0,1,2,3,102
2020-04-03,0,1,3,4,114
2020-04-04,0,1,3,4,116
2020-04-05,0,1,4,5,120
2020-04-06,0,1,4,5,130
2020-04-07,0,1,4,5,144
2020-04-08,0,1,4,5,152
2020-04-09,0,2,4,6,167
2020-04-10,0,2,3,5,172
2020-04-11,0,2,2,4,175
2020-04-12,0,2,2,4,179
2020-04-13,0,1,2,3,184
2020-04-14,0,1,2,3,201
2020-04-15,0,1,2,3,208
2020-04-16,1,1,3,4,216
2020-04-17,1,1,2,3,227
2020-04-18,1,1,3,4,229
2020-04-19,1,2,3,5,231
2020-04-20,1,2,5,7,238
2020-04-21,1,1,4,5,240
2020-04-22,1,1,4,5,245
2020-04-23,1,1,4,5,247
2020-04-24,1,1,3,4,250
2020-04-25,1,1,3,4,251
2020-04-26,1,1,4,5,256
2020-04-27,2,1,3,4,262
2020-04-28,2,1,5,6,265
2020-04-29,2,2,4,6,267
2020-04-30,2,1,4,5,276
2020-05-01,2,1,3,4,280
2020-05-02,2,2,3,5,280
2020-05-03,2,1,3,4,281
2020-05-04,3,2,3,5,287
2020-05-05,3,2,3,5,295
2020-05-06,3,1,2,3,296
2020-05-07,3,1,2,3,303
2020-05-08,3,1,2,3,306
2020-05-09,4,1,2,3,306
2020-05-10,4,1,2,3,306
2020-05-11,4,1,1,2,309
2020-05-12,5,1,1,2,310
2020-05-13,5,0,2,2,316
2020-05-14,5,0,2,2,317
2020-05-15,5,0,1,1,320
2020-05-16,5,0,1,1,320
2020-05-17,5,0,1,1,320
2020-05-18,5,0,1,1,324
2020-05-19,5,0,2,2,327
2020-05-20,5,0,2,2,329
2020-05-21,5,0,1,1,331
2020-05-22,5,0,2,2,334
2020-05-23,5,0,0,0,338
2020-05-24,5,0,1,1,339
2020-05-25,5,0,0,0,340
2020-05-26,6,0,1,1,342
2020-05-27,6,0,1,1,342
2020-05-28,6,0,0,0,346
2020-05-29,6,0,0,0,346
2020-05-30,6,0,2,2,346
2020-05-31,6,0,2,2,347
2020-06-01,6,0,2,2,347
2020-06-02,6,0,2,2,348
2020-06-03,6,0,1,1,348
2020-06-04,6,0,2,2,348
2020-06-05,6,0,2,2,348
2020-06-06,6,0,1,1,349
2020-06-07,6,0,1,1,350
2020-06-08,6,0,1,1,351
2020-06-09,6,0,1,1,351
2020-06-10,6,0,1,1,352
2020-06-11,6,0,1,1,352
2020-06-12,6,0,2,2,354
2020-06-13,6,0,1,1,354
2020-06-14,6,0,1,1,354
2020-06-15,6,0,1,1,354
2020-06-16,6,0,0,0,355
2020-06-17,6,0,1,1,355
2020-06-18,6,0,1,1,355
2020-06-19,6,0,1,1,355
2020-06-20,6,0,1,1,355
2020-06-21,6,0,1,1,355
2020-06-22,6,0,0,0,356
2020-06-23,6,0,0,0,356
2020-06-24,6,0,0,0,358
2020-06-25,6,0,0,0,365
2020-06-26,6,0,0,0,365
2020-06-27,6,0,0,0,365
2020-06-28,6,0,0,0,365
2020-06-29,6,0,0,0,366
2020-06-30,6,0,0,0,367
2020-07-01,6,0,0,0,367
2020-07-02,6,0,0,0,367
2020-07-03,6,0,0,0,368
2020-07-04,6,0,0,0,368
2020-07-05,6,0,0,0,369
2020-07-06,6,0,0,0,370
2020-07-07,6,0,0,0,370
2020-07-08,6,0,0,0,372
2020-07-09,6,0,0,0,372
2020-07-10,6,0,0,0,372
2020-07-11,6,0,0,0,372
2020-07-12,6,0,0,0,373
2020-07-13,6,0,0,0,375
2020-07-14,6,0,0,0,375
2020-07-15,6,0,0,0,376
2020-07-16,6,0,0,0,379
2020-07-17,6,0,0,0,380
2020-07-18,6,0,0,0,380
2020-07-19,6,0,0,0,380
2020-07-20,6,0,0,0,385
2020-07-21,6,0,0,0,386
2020-07-22,6,0,0,0,388
2020-07-23,6,0,0,0,389
2020-07-24,6,0,0,0,389
2020-07-25,6,0,0,0,389
2020-07-26,6,0,0,0,389
2020-07-27,6,0,0,0,390
2020-07-28,6,0,0,0,390
2020-07-29,6,0,0,0,391
2020-07-30,6,0,0,0,393
2020-07-31,6,0,0,0,395
2020-08-01,6,0,0,0,396
2020-08-02,6,0,0,0,397
2020-08-03,6,0,0,0,400
2020-08-04,6,0,0,0,402
2020-08-05,6,0,0,0,404
2020-08-06,6,0,0,0,405
2020-08-07,6,0,0,0,407
2020-08-08,6,0,0,0,410
2020-08-09,6,0,0,0,419
2020-08-10,7,0,0,0,420
2020-08-11,7,0,0,0,422
2020-08-12,7,0,1,1,427
2020-08-13,7,0,1,1,429
2020-08-14,7,0,0,0,431
2020-08-15,7,0,0,0,432
2020-08-16,7,0,0,0,438
2020-08-17,7,0,0,0,440
2020-08-18,7,0,0,0,445
2020-08-19,7,0,0,0,447
2020-08-20,7,0,0,0,447
2020-08-21,7,0,0,0,451
2020-08-22,7,0,0,0,455
2020-08-23,7,0,0,0,456
2020-08-24,7,0,0,0,459
2020-08-25,7,0,0,0,461
2020-08-26,7,0,0,0,462
2020-08-27,7,0,0,0,464
2020-08-28,7,0,1,1,475
2020-08-29,7,0,1,1,476
2020-08-30,7,0,1,1,476
2020-08-31,7,0,1,1,478
2020-09-01,7,0,1,1,479
2020-09-02,7,0,0,0,480
2020-09-03,7,0,0,0,480
2020-09-04,7,0,1,1,481
2020-09-05,7,0,1,1,481
2020-09-06,7,0,1,1,483
2020-09-07,7,0,0,0,486
2020-09-08,7,0,0,0,490
2020-09-09,7,0,0,0,497
2020-09-10,7,0,0,0,501
2020-09-11,7,0,0,0,501
2020-09-12,7,0,0,0,505
2020-09-13,7,0,0,0,506
2020-09-14,7,0,0,0,508
