date,dead,in_icu,in_ward,hospitalized,confirmed
2020-03-08,0,0,0,0,1
2020-03-09,0,0,0,0,2
2020-03-10,0,0,0,0,5
2020-03-11,0,0,0,0,11
2020-03-12,0,0,0,0,14
2020-03-13,0,0,0,0,16
2020-03-14,0,0,0,0,18
2020-03-15,0,0,0,0,18
2020-03-16,0,0,0,0,18
2020-03-17,0,0,0,0,20
2020-03-18,0,0,0,0,23
2020-03-19,0,0,0,0,30
2020-03-20,0,0,0,0,36
2020-03-21,0,0,0,0,37
2020-03-22,0,0,0,0,38
2020-03-23,0,0,0,0,45
2020-03-24,0,0,0,0,51
2020-03-25,0,0,1,1,57
2020-03-26,0,0,1,1,65
2020-03-27,0,1,1,3,69
2020-03-28,0,1,2,3,70
2020-03-29,0,1,3,4,70
2020-03-30,0,1,2,3,78
2020-03-31,0,1,2,4,84
2020-04-01,0,1,3,5,89
2020-04-02,0,2,5,7,102
2020-04-03,0,3,6,10,114
2020-04-04,0,3,7,10,116
2020-04-05,0,3,8,12,120
2020-04-06,0,3,8,12,130
2020-04-07,0,3,8,12,144
2020-04-08,0,3,8,11,152
2020-04-09,1,5,8,10,167
2020-04-10,1,5,6,11,172
2020-04-11,1,4,5,10,175
2020-04-12,1,4,5,9,179
2020-04-13,1,3,6,10,184
2020-04-14,1,3,6,10,201
2020-04-15,1,3,5,8,208
2020-04-16,2,3,7,11,216
2020-04-17,2,3,6,10,227
2020-04-18,2,3,6,10,229
2020-04-19,3,3,6,10,231
2020-04-20,3,3,10,13,238
2020-04-21,3,3,8,12,240
2020-04-22,3,3,8,12,245
2020-04-23,3,3,8,11,247
2020-04-24,3,3,6,9,250
2020-04-25,3,2,6,9,251
2020-04-26,3,2,6,9,256
2020-04-27,3,2,5,8,262
2020-04-28,4,2,7,10,265
2020-04-29,4,3,6,9,267
2020-04-30,4,2,6,8,276
2020-05-01,4,2,5,7,280
2020-05-02,4,2,5,7,280
2020-05-03,5,2,5,7,281
2020-05-04,5,2,4,7,287
2020-05-05,5,2,3,6,295
2020-05-06,5,2,3,5,296
2020-05-07,5,2,2,5,303
2020-05-08,6,2,2,5,306
2020-05-09,7,1,2,4,306
2020-05-10,7,1,2,4,306
2020-05-11,7,1,1,2,309
2020-05-12,7,1,1,2,310
2020-05-13,7,0,2,2,316
2020-05-14,7,0,2,2,317
2020-05-15,7,0,1,2,320
2020-05-16,7,0,1,2,320
2020-05-17,7,0,1,2,320
2020-05-18,7,0,1,2,324
2020-05-19,7,0,2,3,327
2020-05-20,7,0,2,3,329
2020-05-21,7,0,1,1,331
2020-05-22,7,0,2,2,334
2020-05-23,7,0,0,1,338
2020-05-24,8,0,1,1,339
2020-05-25,8,0,1,1,340
2020-05-26,9,0,1,1,342
2020-05-27,8,0,1,1,342
2020-05-28,8,0,0,0,346
2020-05-29,8,0,0,0,346
2020-05-30,8,0,2,2,346
2020-05-31,8,0,2,2,347
2020-06-01,9,0,2,2,347
2020-06-02,9,0,2,2,348
2020-06-03,9,0,1,1,348
2020-06-04,9,0,2,2,348
